2024_Promise,Forecast,Similarity_Score,Historical_Match,Historical_Year,ROUGE_1,ROUGE_2,ROUGE_L,BERTScore_P,BERTScore_R,BERTScore_F1
17 17,Indeterminate,0.3994,people-centric,2014,0.0,0.0,0.0,0.5706135,0.55351514,0.56193435
"Involving the Youth in Nation Building We recognize the entrepreneurial potential of our youth. We will expand credit programmes like Mudra to support all aspiring entrepreneurs in starting and sustaining their ventures. The Mudra loan limit will We have launched ‘Mera Yuva Bharat (MY Bharat)’ to involve the youth in nation building. One crore be doubled up to ₹20 lakh and provided to entrepreneurs who have availed and successfully repaid youth have already enrolled in MY Bharat. This will be enhanced to develop leadership skills and spirit of previous loans under the Tarun category. volunteering by providing equitable access for participation in government initiatives. Providing New Employment Opportunities in Tourism Vibrant Startup Ecosystem Our rich cultural heritage is the centre of global attraction. Our efforts at improving connectivity, building",Low Confidence: Highly Likely,0.5734,"Encourage and empower our youth for self-employment - incubating entrepreneurship as well as facilitating credit. Address the employability issue by initiating a multi-skills development programme in mission mode. Focus will be on job creation and entrepreneurship, in both rural and urban areas.",2014,0.20930232558139536,0.023529411764705882,0.11627906976744187,0.74344313,0.7868158,0.76451486
"better infrastructure and reaching out to the world has significantly increased tourist footfall. We will Expanding the Startup Ecosystem expand the range of programmes to further expand the tourism sector and increase employment opportunities. We have successfully established Bharat among the top 3 Startup Ecosystems through various interventions ranging from Atal Tinkering Labs, Hackathon, Startup India and Start Up India Seed Fund",Low Confidence: Partial,0.5366,Nurture more job generating opportunities like tourism and IT industry.,2014,0.08333333333333333,0.0,0.05555555555555555,0.7172297,0.80442876,0.75833076
"Scheme. We will build upon this success and expand this ecosystem by making Bharat a preferred destination for startups, supported by robust investment, mentorship and a culture that celebrates",Low Confidence: Partial,0.5778,We will continue to promote and encourage Startups through creation of a ‘Seed Startup,2019,0.23255813953488377,0.04878048780487805,0.23255813953488377,0.78523654,0.8479543,0.8153911
entrepreneurial risk-taking. We will work with the private sector to expand the incubator network and link them with higher education institutes to promote entrepreneurship among our students. Expand Funding for Startups,Low Confidence: Highly Likely,0.5966,"Encourage and empower our youth for self-employment - incubating entrepreneurship as well as facilitating credit. Address the employability issue by initiating a multi-skills development programme in mission mode. Focus will be on job creation and entrepreneurship, in both rural and urban areas.",2014,0.18666666666666668,0.0,0.07999999999999999,0.7952565,0.7795235,0.78731143
"We will expand the existing Startup India Seed Fund Scheme and Startup Credit Guarantee Scheme to ensure adequate funds for our start-ups in their entrepreneurial journeys. Providing Mentorship to Startups We have successfully provided mentorship under the Atal Innovation Mission where more than 6,000",Moderate Confidence: Highly Likely,0.685,Seed Startup Fund,2019,0.12244897959183672,0.0,0.12244897959183672,0.6904027,0.86732876,0.76881814
mentors are already present. We will continue establishing tie-ups with globally recognised mentors to support the startups in their journeys to success. Encouraging Startups in Government Procurement We have taken initiatives in many departments including defence and railways to support procurement,Low Confidence: Partial,0.545,We will continue to promote and encourage Startups through creation of a ‘Seed Startup,2019,0.2857142857142857,0.1111111111111111,0.21428571428571427,0.77129644,0.8439578,0.8059928
"from startups. We will prepare a strong framework to further encourage startups in government procurement. Ensuring Employment Opportunities for Youth Increasing Employment Opportunities in Manufacturing With PLI and Make in India programmes, manufacturing has emerged as a major economic sector with",Moderate Confidence: Highly Likely,0.649,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014,0.24691358024691357,0.05063291139240506,0.14814814814814814,0.8066336,0.8164642,0.81151915
"good success in electronics, defence, mobile, automobile, etc. We will continue to work towards making Implementing Law to Prevent Paper Leaks Bharat a global manufacturing hub and enhance employment in this crucial sector. We have already enacted a strict law to stop misconduct in recruitment exams across the country. We Employment Generation Through Investment in Infrastructure will strictly implement this law to ensure strict punishment to those playing with the future of our youth. Unprecedented investment in infrastructure has created a large number of employment opportunities.",Low Confidence: Partial,0.5311,Mandate digitization of all government work to reduce corruption and delays.,2014,0.08247422680412372,0.0,0.06185567010309278,0.69974554,0.7629369,0.7299762
We will continue this investment for employment growth. Conducting Transparent Public Exams Establishing Global Centres for High-Value Services We have set the example for conducting recruitment exams in a transparent manner and recruited lakhs,Low Confidence: Partial,0.5355,"We will formulate a dedicated programme for the creation of work opportunities, provide skill training and strengthen social security mechanism for",2019,0.25,0.03703703703703704,0.17857142857142855,0.7883897,0.81464314,0.8013014
of youth for government jobs. We will continue to fill the government vacancies in a time bound and,Low Confidence: Highly Likely,0.5763,We will focus on need based skill development and employability; making our youth employable even in the most sophisticated jobs.,2014,0.36842105263157887,0.05555555555555555,0.15789473684210525,0.7710634,0.7871902,0.7790434
We will further strengthen our efforts to make Bharat the global hub for High-Value Services by,Low Confidence: Partial,0.566,We will increase the coverage of Ayushman Bharat to include all Anganwadi workers and workers to ensure improved health and social support system for these frontline workers,2019,0.27272727272727276,0.04761904761904762,0.1818181818181818,0.8064008,0.7647786,0.78503835
"transparent manner. We will also extend the central government capacity to states that request establishing more Global Capability Centres (GCCs), Global Tech Centres (GTCs) and Global Engineering support in conducting recruitment examinations. Centres (GECs).",Moderate Confidence: Partial,0.6031,We will put in place a mechanism that will ensure that the Central and state governments work in close coordination and synergy while giving clearances to mega projects.,2014,0.3225806451612903,0.06666666666666667,0.1935483870967742,0.74032295,0.79263735,0.7655875
18 18,Indeterminate,0.3937,policy-driven,2014,0.0,0.0,0.0,0.54832256,0.5283766,0.53816485
"Involving the Youth in Nation Building We recognize the entrepreneurial potential of our youth. We will expand credit programmes like Mudra to support all aspiring entrepreneurs in starting and sustaining their ventures. The Mudra loan limit will We have launched ‘Mera Yuva Bharat (MY Bharat)’ to involve the youth in nation building. One crore be doubled up to ₹20 lakh and provided to entrepreneurs who have availed and successfully repaid youth have already enrolled in MY Bharat. This will be enhanced to develop leadership skills and spirit of previous loans under the Tarun category. volunteering by providing equitable access for participation in government initiatives. Providing New Employment Opportunities in Tourism Our rich cultural heritage is the centre of global attraction. Our efforts at improving connectivity, building",Low Confidence: Highly Likely,0.5734,"Encourage and empower our youth for self-employment - incubating entrepreneurship as well as facilitating credit. Address the employability issue by initiating a multi-skills development programme in mission mode. Focus will be on job creation and entrepreneurship, in both rural and urban areas.",2014,0.21301775147928995,0.023952095808383235,0.11834319526627217,0.74371326,0.7877905,0.76511765
"better infrastructure and reaching out to the world has significantly increased tourist footfall. We will Expanding the Startup Ecosystem expand the range of programmes to further expand the tourism sector and increase employment opportunities. We have successfully established Bharat among the top 3 Startup Ecosystems through various interventions ranging from Atal Tinkering Labs, Hackathon, Startup India and Start Up India Seed Fund",Low Confidence: Partial,0.5366,Nurture more job generating opportunities like tourism and IT industry.,2014,0.08333333333333333,0.0,0.05555555555555555,0.7172297,0.80442876,0.75833076
"Scheme. We will build upon this success and expand this ecosystem by making Bharat a preferred destination for startups, supported by robust investment, mentorship and a culture that celebrates",Low Confidence: Partial,0.5778,We will continue to promote and encourage Startups through creation of a ‘Seed Startup,2019,0.23255813953488377,0.04878048780487805,0.23255813953488377,0.78523654,0.8479543,0.8153911
entrepreneurial risk-taking. We will work with the private sector to expand the incubator network and link them with higher education institutes to promote entrepreneurship among our students. Expand Funding for Startups,Low Confidence: Highly Likely,0.5966,"Encourage and empower our youth for self-employment - incubating entrepreneurship as well as facilitating credit. Address the employability issue by initiating a multi-skills development programme in mission mode. Focus will be on job creation and entrepreneurship, in both rural and urban areas.",2014,0.18666666666666668,0.0,0.07999999999999999,0.7952565,0.7795235,0.78731143
"We will expand the existing Startup India Seed Fund Scheme and Startup Credit Guarantee Scheme to ensure adequate funds for our start-ups in their entrepreneurial journeys. Providing Mentorship to Startups We have successfully provided mentorship under the Atal Innovation Mission where more than 6,000",Moderate Confidence: Highly Likely,0.685,Seed Startup Fund,2019,0.12244897959183672,0.0,0.12244897959183672,0.6904027,0.86732876,0.76881814
mentors are already present. We will continue establishing tie-ups with globally recognised mentors to support the startups in their journeys to success. Encouraging Startups in Government Procurement We have taken initiatives in many departments including defence and railways to support procurement,Low Confidence: Partial,0.545,We will continue to promote and encourage Startups through creation of a ‘Seed Startup,2019,0.2857142857142857,0.1111111111111111,0.21428571428571427,0.77129644,0.8439578,0.8059928
"from startups. We will prepare a strong framework to further encourage startups in government procurement. Increasing Employment Opportunities in Manufacturing With PLI and Make in India programmes, manufacturing has emerged as a major economic sector with",Moderate Confidence: Highly Likely,0.6679,"Accord high priority to the growth of manufacturing, so that we can create enough jobs in the country. This sector must grow fast to ensure employment and asset creation. We will facilitate setting up of software and hardware manufacturing units.",2014,0.2368421052631579,0.027027027027027025,0.13157894736842105,0.8057247,0.8178356,0.811735
"good success in electronics, defence, mobile, automobile, etc. We will continue to work towards making Implementing Law to Prevent Paper Leaks Bharat a global manufacturing hub and enhance employment in this crucial sector. We have already enacted a strict law to stop misconduct in recruitment exams across the country. We Employment Generation Through Investment in Infrastructure will strictly implement this law to ensure strict punishment to those playing with the future of our youth. Unprecedented investment in infrastructure has created a large number of employment opportunities.",Low Confidence: Partial,0.5311,Mandate digitization of all government work to reduce corruption and delays.,2014,0.08247422680412372,0.0,0.06185567010309278,0.69974554,0.7629369,0.7299762
We will continue this investment for employment growth. Conducting Transparent Public Exams Establishing Global Centres for High-Value Services We have set the example for conducting recruitment exams in a transparent manner and recruited lakhs,Low Confidence: Partial,0.5355,"We will formulate a dedicated programme for the creation of work opportunities, provide skill training and strengthen social security mechanism for",2019,0.25,0.03703703703703704,0.17857142857142855,0.7883897,0.81464314,0.8013014
of youth for government jobs. We will continue to fill the government vacancies in a time bound and,Low Confidence: Highly Likely,0.5763,We will focus on need based skill development and employability; making our youth employable even in the most sophisticated jobs.,2014,0.36842105263157887,0.05555555555555555,0.15789473684210525,0.7710634,0.7871902,0.7790434
We will further strengthen our efforts to make Bharat the global hub for High-Value Services by,Low Confidence: Partial,0.566,We will increase the coverage of Ayushman Bharat to include all Anganwadi workers and workers to ensure improved health and social support system for these frontline workers,2019,0.27272727272727276,0.04761904761904762,0.1818181818181818,0.8064008,0.7647786,0.78503835
"transparent manner. We will also extend the central government capacity to states that request establishing more Global Capability Centres (GCCs), Global Tech Centres (GTCs) and Global Engineering support in conducting recruitment examinations. Centres (GECs).",Moderate Confidence: Partial,0.6031,We will put in place a mechanism that will ensure that the Central and state governments work in close coordination and synergy while giving clearances to mega projects.,2014,0.3225806451612903,0.06666666666666667,0.1935483870967742,0.74032295,0.79263735,0.7655875
19 19,Indeterminate,0.3719,people-centric,2014,0.0,0.0,0.0,0.58111215,0.55408067,0.5672746
"We will organise regular Ayush camps to provide holistic healthcare solutions rooted in Ayurveda, Yoga and other traditional practices to promote active living and vitality of elders. Ensuring Senior Citizen-Friendly Public Infrastructure",Moderate Confidence: Partial,0.6938,Yoga and Ayurveda are the gifts of ancient Indian civilization to humanity and we will increase the public investment to promote Yoga and AYUSH. We will start integrated courses for Indian System of Medicine (ISM) and modern science and Ayurgenomics. We will set up institutions and launch a vigorous program to standardize and validate the Ayurvedic medicine.,2014,0.26666666666666666,0.06818181818181818,0.15555555555555556,0.81770563,0.8115804,0.8146315
We will implement age-friendly public infrastructure and transportation systems to facilitate mobility and independence for senior citizens. Facilitate Convenient Teerth Yatra,Moderate Confidence: Highly Likely,0.669,"BJP is committed to the welfare of senior citizens, especially their security and health care. We will take measures to deal with the issues related to the senior citizens in a focused manner. Invest in setting up and improving old-age homes.",2014,0.25,0.06451612903225808,0.15624999999999997,0.8072892,0.7972502,0.80223835
"We will work with state governments to ensure convenient facilities for senior citizens to undertake sacred pilgrimages across the country. MODI KI GUARANTEE FOR SENIOR CITIZENS Joint families are an important factor of our robust social and cultural heritage. Our society is undergoing a major change in today’s time. To cope with these changes, we have initiated a variety of steps, drawing upon our social traditions, to provide a",Moderate Confidence: Partial,0.686,"To Harness experience of senior citizens, we will Devise schemes and programs to engage them as volunteers",2014,0.18390804597701146,0.04705882352941177,0.11494252873563217,0.7476169,0.8250047,0.78440666
robust eldercare ecosystem in modern times. We will expand these programmes with focus on dignified elderly living. Ayushman for Senior Citizens,High Confidence: Highly Likely,0.7367,"BJP is committed to the welfare of senior citizens, especially their security and health care. We will take measures to deal with the issues related to the senior citizens in a focused manner. Invest in setting up and improving old-age homes.",2014,0.19047619047619047,0.06557377049180328,0.15873015873015875,0.77954805,0.78981614,0.78464854
We will expand the Ayushman Bharat Yojana to cover Senior Citizens and provide them access to free and quality healthcare. Facilitating Knowledge Sharing by Senior Citizens,Moderate Confidence: Partial,0.6388,We will increase the coverage of Ayushman Bharat to include all Anganwadi workers and workers to ensure improved health and social support system for these frontline workers,2019,0.33962264150943394,0.0784313725490196,0.33962264150943394,0.8552848,0.8396328,0.8473865
"We will introduce a National Senior Citizens portal to honour the wisdom and experience of our elders by providing them with a platform for sharing their stories, insights and knowledge. Delivering Government Services at Doorstep",High Confidence: Partial,0.7284,"To Harness experience of senior citizens, we will Devise schemes and programs to engage them as volunteers",2014,0.34615384615384615,0.12,0.15384615384615385,0.8078776,0.85509443,0.83081573
We will ensure seamless access to social security benefits and other essential government services to senior citizens by leveraging the extensive reach and reliability of the postal and digital network. Digital Empowerment for Senior Citizens,Moderate Confidence: Highly Likely,0.6467,"BJP is committed to the welfare of senior citizens, especially their security and health care. We will take measures to deal with the issues related to the senior citizens in a focused manner. Invest in setting up and improving old-age homes.",2014,0.3636363636363636,0.08,0.2077922077922078,0.7998823,0.79678273,0.7983295
"We will provide senior citizens with comprehensive training in using UPI and other online payment methods, while also educating them on how to recognize and avoid digital scams.",Moderate Confidence: Partial,0.6118,"To Harness experience of senior citizens, we will Devise schemes and programs to engage them as volunteers",2014,0.3111111111111111,0.09302325581395349,0.17777777777777778,0.77892536,0.82618713,0.80186045
20 20,Indeterminate,0.307,Ram Mandir,2019,0.0,0.0,0.0,0.5413548,0.5369916,0.53916436
"We will orgaWneis we irlle ogruglaanr iAsyeu rsehg ucalamr pAsy utsoh p craomvidpes htoo lpisrtoicv ihdeea hltohlicsatrice hseoalultthiocnasre r osootluetdio inn sA ryouortveedd ain, YAoyguar veda, Yoga and other tarnadd iotitohnearl tprraadcittiicoensa tl op rparcotmiceoste t oa cptrivoem loivtien ga catnivde v liitvainligty a onfd e vlditearlist.y of elders. Ensuring SEennsiourr iCnigti zSeenn-ioFrri Ceintdizleyn P-uFbrileicn Idnlfyr aPsutbrluicc tInufrreastructure",Indeterminate,0.4908,Poshan Abhiyaan.,2019,0.0,0.0,0.0,0.6123515,0.6901697,0.648936
We will impWleem wenillt i magpel-efmrieenntd layg peu-fbrliiec nindflyra psutrbulicct iunrfer aasntdru tcrtaunrsep aonrtda ttrioann sspyosrtteamtiso tno s fyasctielimtast et om foabciilliittya te mobility and indepeanndde nincdee fpoer nsdeenniocre c fiotirz esenns.ior citizens. Facilitate CFoancvileitnaiteen Ct oTneveertnhie Ynatt Traeerth Yatra,Indeterminate,0.4206,To do research for the eradication of tropical diseases.,2014,0.0,0.0,0.0,0.5632037,0.6348143,0.59686875
"We will worWk ew witihll swtoartke wgoitvhe rsntmateen gtosv teor nemnseunrtes c toon evnensuiernet c foancvileitnieiesn fto fra sceilnitiioers c fiotirz esenns itoor ucintidzeerntsa ktoe undertake sacred pilgrsiamcaregde sp ialgcrroimssa gthees acocruonstsr yt.he country. MODI KI GUARANTEE FOR SENIOR CITIZENS Joint families are an important factor of our robust social and cultural heritage. Our society is undergoing a major change in today’s time. To cope with these changes, we have initiated a variety of steps, drawing upon our social traditions, to provide a",Low Confidence: Partial,0.505,"Structure a comprehensive scheme, incorporating best practices from past successes like BalikaSamruddhi, LadliLaxmi and ChiranjeeviYojana to support encourage positive attitude amongst families towards the girl child.",2014,0.07207207207207207,0.0,0.036036036036036036,0.68848836,0.73487437,0.7109256
robust eldercare ecosystem in modern times. We will expand these programmes with focus on dignified elderly living. AyushmanA fyour sShemniaonr fCoitri zSeennsior Citizens,High Confidence: Highly Likely,0.7308,"BJP is committed to the welfare of senior citizens, especially their security and health care. We will take measures to deal with the issues related to the senior citizens in a focused manner. Invest in setting up and improving old-age homes.",2014,0.15384615384615383,0.031746031746031744,0.12307692307692307,0.7301698,0.78035796,0.7544301
We will expWaned w tihlle e Axypuasnhdm thaen AByhuasrhamt Yaonja Bnhaa troa tc oYovejarn Sae tnoio cro Cvietriz Seennsi oarn dCi tpirzoevnisd ea ntdhe pmro avcidcee stsh teom f raecec ess to free and qualitya hneda qltuhaclaitrye .healthcare. FacilitatingF aKcniloitwalteindgg eK Snhowarliendgg bey S Sheanriionrg Cbiyti zSeennsior Citizens,Low Confidence: Partial,0.5906,We are committed to leverage all resources to ensure that the out-of-pocket expenditure (OOPE) on health is reduced and all citizens can avail necessary medical services. +,2019,0.10526315789473685,0.0,0.10526315789473685,0.648865,0.69673985,0.6719507
"We will intrWodeu wceil la in Ntarotidouncael Sae Nnaiotrio Cniatilz Seennsi opro Crtitailz teon sh opnoortuarl tthoe h wonisoduorm th aen wd iesxdpoemri eanncde e oxfp oeurire enlcdee rosf boyu r elders by providing tphreomv iwdiintgh tah pelmat fwoirtmh afo prl asthfaorrimng f tohre sihr asrtionrgie tsh, einirs isgthotrsie asn, idn skingohwtsle adngde k. nowledge. Delivering DGeolviveerrnimnge Gnto vSeerrnvmiceesn ta tS Derovoircsetse apt Doorstep",Indeterminate,0.4778,Poshan Abhiyaan.,2019,0.0,0.0,0.0,0.6017902,0.66757715,0.6329789
We will ensWuree wseilal emnlseussre a sceceasmsl etos ss oaccciaels sse tcou rsiotyci able sneecfiutrsit ayn bde ontehfietrs easnsde nottihael rg oevsesernnmtiaeln gto sveerrvnicmeesn tto s ervices to senior citizesenns iboyr cleitvizeerangsi nbyg ltehvee eraxgteinngs itvhee r eexatcehn asnivde rreelaiacbhi laitnyd o rfe tlhiaeb piliotyst oafl athned pdoigsittaall annedtw doigrikt.al network. Digital EmpDoigwitearlm Emenpto fwore Srmeneinotr fCoitri zSeennsior Citizens,Indeterminate,0.3714,Poshan Abhiyaan.,2019,0.0,0.0,0.0,0.5931023,0.6719416,0.6300652
"We will proWvidee w siell npiroorv ciidteiz esenns iwori tchit cizoemnsp rweihtehn csoivmep trreahineinnsgi vine utrsainingi nUgP iIn a unsdi nogt hUePrI oannldin oet phaeyrm onenlint e payment methods, wmheilteh aoldsos , ewdhuiclea tainlsgo tehdeumca otnin hgo twhe tmo roenc ohgonwiz teo a rnedc oagvnoiizde d aignidt aalv sociadm dsig.ital scams.",Indeterminate,0.4695,We will ensure minimization of the generation of black money. Committed to initiate the process of tracking down and bringing back black money stashed in foreign banks and offshore accounts. We will also proactively engage with foreign governments to facilitate information sharing on black money.,2014,0.041666666666666664,0.02127659574468085,0.041666666666666664,0.63218135,0.67713493,0.65388644
21 21,Indeterminate,0.3566,Merged with 178,2014,0.0,0.0,0.0,0.6042204,0.58886623,0.5964445
We will develop Digital Public Infrastructure to remove information asymmetry in agriculture and,Low Confidence: Partial,0.5928,"Encouraging research and innovation in areas of relevance for the economy and society, particularly by promoting close and productive interaction between private and public institutions. Sectors such as agriculture (particularly soil, water management, human and animal nutrition and fisheries), water, health, education, industry, energy including renewable energy, communication and transportation would be accorded highest priority. Leveraging of technologies such as information technology, biotechnology and material sciences would be done with special importance.",2014,0.11764705882352941,0.0,0.07058823529411765,0.7675011,0.7198509,0.7429127
"We will support Annadatas to make Bharat Atmanirbhar in the production of pulses (like tur, urad, provide farmer-centric solutions and services. Expand the Network of Dairy Cooperatives masoor, moong and chana) and edible oil production (like mustard, soybean, til and groundnut).",Low Confidence: Highly Likely,0.5675,"Encourage the production of cereals, pulses and oils.",2014,0.24,0.08333333333333334,0.24,0.7379205,0.85874695,0.793762
"We will expand the network of dairy cooperatives in villages in the next five years with facilities of New Clusters for Vegetable Production and Storage fodder banks, milk testing laboratories, bulk milk coolers, and milk processing units.",Moderate Confidence: Partial,0.6296,We have given utmost importance to the dairy sector and have established Kamdhenu Aayog for the conservation of indigenous species of cows. We will establish a network of mobile veterinary dispensaries to provide doorstep service to farmers.,2019,0.2702702702702703,0.05555555555555555,0.13513513513513514,0.7936468,0.7845733,0.78908396
"We will support Annadatas with requisite farming inputs to increase the production of nutritious Protecting Indigenous Breeds vegetables by establishing new clusters for the production of essentials like onion, tomato, potato etc. Doubling Custom Hiring Centres",Low Confidence: Partial,0.5738,"We will promote chemical-free organic farming in an additional lakh hectare of hilly, tribal and rainfed areas in the next years",2019,0.1724137931034483,0.03571428571428571,0.1724137931034483,0.7697434,0.7759782,0.77284825
"We will also set up storage and logistics facilities at these clusters. We will make efforts to protect indigenous cattle breeds, and make efforts to increase their productivity",Moderate Confidence: Partial,0.6626,We have given utmost importance to the dairy sector and have established Kamdhenu Aayog for the conservation of indigenous species of cows. We will establish a network of mobile veterinary dispensaries to provide doorstep service to farmers.,2019,0.2153846153846154,0.031746031746031744,0.1846153846153846,0.8234911,0.7884977,0.8056146
"We have already established 25,000 custom hiring centres. We will double the number of custom hiring and preserve their genetic diversity. Positioning Bharat as the Nutri-Hub of the World centres, focusing on making agricultural machinery and equipment at stable prices. Eliminating Major Veterinary Diseases Building on the success of the International Year of Millets, we will promote Shree Anna (millets) for food Upgrading Krishi Vigyan Kendra",Low Confidence: Highly Likely,0.5607,"Promote horticulture, floriculture, pisciculture, bee- keeping and poultry for generating jobs and income for rural India",2014,0.09523809523809523,0.0,0.07142857142857142,0.7092323,0.7593417,0.73343205
"security, nutrition and environmental sustainability and make Bharat a Global Millet Hub. We will eliminate FMD (Foot and Mouth Disease) and will also control brucellosis through a massive",Low Confidence: Partial,0.5347,"Make potable drinking water available to all thus reducing water-borne diseases, which will automatically translate into Diarrhoea-free India.",2014,0.125,0.0,0.125,0.7551958,0.7593394,0.75726193
We have upgraded KVKs to provide digital solutions to our farmers. We will further upgrade all Krishi vaccination campaign. Millet as Super Food Vigyan Kendra into a one-stop centre for skill development. Sahakar se Samriddhi We have ensured that Millet gets the global recognition and will now promote it as the global superfood. Expanding PM Kisan Samriddhi Kendras,Low Confidence: Partial,0.5243,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019,0.23076923076923078,0.02631578947368421,0.1282051282051282,0.7576468,0.8209067,0.7880093
"We will also focus on expanding its cultivation among small farmers, promote research and international We will bring the National Cooperative Policy with a view to make the cooperative movement strong, marketing to underscore its health and sustainability advantages. We have established PM Kisan Samriddhi Kendras to provide all agricultural inputs and services as efficient, transparent, technically rich and vibrant at the grassroots level.",Moderate Confidence: Partial,0.6509,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019,0.24096385542168675,0.024691358024691357,0.1927710843373494,0.75660104,0.82905114,0.7911709
MODI one-stop shops to our farmers. We will further expand the network of PM Kisan Samriddhi Kendras. KI Strengthening Natural Farming Ensuring High-Yielding Seeds,Moderate Confidence: Partial,0.6269,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019,0.35555555555555557,0.09302325581395349,0.26666666666666666,0.8008244,0.84115446,0.8204941
"We will launch the National Mission on Natural Farming to promote nature-friendly, climate-resilient, GUARANTEE FOR",Moderate Confidence: Partial,0.6084,"Will adopt a 'National Land Use Policy', which will look at the scientific acquisition of non-cultivable land, and its development; Protect the interest of farmers and keep in mind the food production goals and economic goals of the country. Its implementation would be monitored by the National Land Use Authority, which will work with the State Land Use Authorities to regulate and facilitate land management.",2014,0.0963855421686747,0.02469135802469136,0.0963855421686747,0.7879175,0.7507475,0.7688835
"remunerative agriculture for food and nutrition secure Bharat. We will encourage farmers to use high-yielding, climate resilient and bio-fortified varieties of seeds. KISAN SAMMAN Further Incentivising Crop Diversification Expanding access to Nano Urea",Low Confidence: Highly Likely,0.5521,"Promote horticulture, floriculture, pisciculture, bee- keeping and poultry for generating jobs and income for rural India",2014,0.11764705882352938,0.0,0.0784313725490196,0.74153054,0.76800203,0.75453424
"We have incentivized crop diversification with appropriate price support strategy. Building on this, we We have started using nano-urea to ensure continued soil fertility in Indian farmlands. We will further are committed to further expand crop diversification to make agriculture sustainable and remunerative. expand access to and encourage adoption of Nano Urea. The dignity and empowerment of farmers is one of our top-most priorities. We have Krishi Infrastructure Mission empowered our Kisans through a variety of measures including soil health card,",Low Confidence: Partial,0.5178,"We will bring one crore hectares agricultural land under micro-irrigation, this would be supplemented with ‘fertigation’ to promote judicious use of fertilizers.",2019,0.18867924528301885,0.019230769230769232,0.09433962264150943,0.7705763,0.79260916,0.78143746
"We will launch a Krishi Infrastructure Mission for integrated planning and coordinated implementation of micro-irrigation, crop insurance, seed supply, and direct financial assistance under PM agri-infrastructure projects like storage facilities, irrigation, grading and sorting units, cold storage Kisan Samman Yojana. We have increased MSP multi-fold. We are committed to facilities, and food processing among others. support our Kisan families and empower them to lead better lives. Expanding Irrigation Facilities We have created a 25.5 lakh hectare irrigation capacity under the PM Krishi Sinchai Yojana. Further, we Making Agriculture Remunerative will launch technology-enabled irrigation initiatives to implement cutting-edge technology for efficient water management. Strengthening PM KISAN Network of Grain Storage Facilities in Rural Areas We are providing annual financial assistance of ₹6,000 under PM Kisan Samman Nidhi Yojana. We are",Low Confidence: Highly Likely,0.5794,Complete Irrigation Projects under Pradhan Mantri Krishi Sinchayi Yojana,2019,0.06896551724137931,0.0,0.06896551724137931,0.6761898,0.796225,0.73131466
committed to sustained financial support for our farmers. We will develop a substantial storage capacity in PACS under the world's largest grain storage scheme in,Moderate Confidence: Partial,0.6881,We will build an efficient storage and transport mechanism for agriculture produce,2019,0.21052631578947367,0.05555555555555555,0.15789473684210525,0.8004331,0.85936815,0.82885426
"the cooperative sector. We will complement it with basic facilities like grading, sorting, processing and Strengthening PM Fasal Bima Yojana packing.",Low Confidence: Highly Likely,0.5707,We will also set up Centres of Excellence in various sectors in partnership with the Industry.,2014,0.27027027027027023,0.05714285714285715,0.16216216216216214,0.7154972,0.8004786,0.75560606
"We will further strengthen the PM Fasal Bima Yojana through more technological interventions to Launching Krishi Satellite ensure speedy and more accurate assessment, faster payouts and quicker grievance resolution.",Moderate Confidence: Highly Likely,0.6382,Harness our advanced satellite technology and expertise for development.,2014,0.15789473684210528,0.0,0.10526315789473684,0.7031465,0.77092016,0.7354753
"We will launch an indigenous Bharat Krishi satellite for farm-related activities like crop forecasting, Increase in MSP pesticide application, irrigation, soil health, and weather forecasting, among others. We have ensured unprecedented increase in MSP for major crops, and we will continue to increase MSP from time to time. 22",Low Confidence: Highly Likely,0.5709,Harness our advanced satellite technology and expertise for development.,2014,0.10169491525423728,0.0,0.10169491525423728,0.6804173,0.76236904,0.7190657
We will devWeleo pw Dilli gditeavle Ploupb lDicig Initfarla Psutrbulicct Iunrfer atsot rreumctouvree itnof orermmoatvieo nin afosyrmmamtieotnr ya siny magmriecutrltyu irne a agnrdic ulture and,Indeterminate,0.438,Poshan Abhiyaan.,2019,0.0,0.0,0.0,0.6620404,0.6970503,0.67909443
"We will supWpoer wt Ailln snuapdpaotrats Atno nmaadkaeta Bsh taor amta Aktem Bahnairrbath aArt mina tnhierb phraord iunc tthioen p orfo pduulcsteiosn (l iokfe p tuulrs,e usr a(ldik, e tur, urad, provide farpmroerv-idceen ftarrimc seorl-ucteionntrsi ca snodl usteirovnicse asn.d services. Expand theE xNpeatnwdo trhke o Nf eDtawiroyr Cko oofp Dearairtyiv Ceosoperatives masoor, momoansgo aonr,d m cohoannag) a anndd c ehdainbale) oanil dp reoddibulcet iooinl p (rliokdeu mctuiostna (rldik, es omyubsetaanr,d t, isl aonybde garno,u tnild annudt )g.roundnut).",Indeterminate,0.4712,Poshan Abhiyaan.,2019,0.0,0.0,0.0,0.5968952,0.68542975,0.63810617
