2024_Promise,Forecast,Similarity_Score,Historical_Match,Historical_Year
"security, nustercituiorinty a, nndu ternitvioirno namnde netnavli rsounsmtaeinnatbali lsituys atanidn ambailkitey B ahnadr amta ak Ge lBohbaarl aMti lale Gt lHobuabl. Millet Hub. We will elimWinea wteil lF eMliDm (iFnoaotet aFnMdD M (Foouotth a Dnisde Masoeu)t ahn Ddi sweialls ael)s aon cdo nwtirllo al lbsrou ccoenlltorsoisl bthruroceulglohs ais mtharsosuivgeh a massive We have upWgrea hdaevde K uVpKgsr atdo epdr oKvVidKes dtoig pitraolv siodleu dtiiognitsa tl os ooluurt ifoanrsm teor os.u Wr fea wrmille frusr. tWhee rw uipll gfurardthee arl lu Kprgisrhadi e all Krishi vaccinationv caacmcinpaatigionn. campaign. Millet as SuMpileler tF aoso dSuper Food Vigyan KenVdirgay iannt oK ae nodnrea- isnttoop a c eonnter-es tfoopr sckeinllt dree vfeolro spkmille dnetv. elopment. Sahakar seS Saahmakraidr dshei Samriddhi We have enWsuer headv teh eant sMuirlleedt tgheatts Mthilele gtl ogbeatsl rtehceo gglnoibtiaoln r eacnodg wniitlli onno wan pdr womillo ntoew it parso tmhoe tgel oitb aasl stuhpee grlfooboadl .s uperfood. ExpandingE PxMpa Knidsainng S PaMm Kriidsdahni S Kaemndrirdadshi Kendras",Indeterminate,0.4423,Reform the National Security Council to make it the hub of all sector-related assessments. It will be accountable for real-time intelligence dissemination. Digital and Cyber security will be a thrust area.,2014
"We will alsoW feo cwuisll oanls eox fpoacnuds ionng eitxsp caunltdiivnagt iiotsn caumltoivnagt isomn aalml foanrmg esmrsa, pll rfoamrmoteer sr,e psreoamrcoht ea nrdes ienatercrhn aatniodn ianlt ernational We will brinWge t hwei lNl bartiinogn athl Ceo Noapteiorantaivl Ceo Poopliecrya wtiviteh P ao vliiceyw w tioth m aa vkiee wth teo c mooapkeer tahtiev eco mopoveeramtievnet m storvoenmg,e nt strong, marketing mtoa urnkedteirnsgc otore u intsd ehresaclothre a intsd hseuaslttahi naanbdi lsituys atadivnaanbtialitgye sa.dvantages. We have esWtaeb hlisahveed e sPtMa bKliisshaned S aPmM rKidisdahni KSeanmdrriadsd htoi K pernodvridaes atoll pagrorivciudlet uarlal al ignrpicuutlst uarnadl isnepruvticse asn ads s ervices as efficient, treaffinscpieanret,n ttr, atnescphanriceanltly, treicchh naincda lvlyib rricahn ta natd tvhiber garnats asrto tohtes gleravsesl.roots level. MODI one-stop shonope-ss ttoo po usrh foaprsm teor os.u Wr fea wrmille frusr. tWhee rw eixllp faunrtdh tehre e nxeptawndo rtkh oef n PeMtw Koisrka no fS aPmM rKidisdahni KSeanmdrriadsd.hi Kendras. KI StrengthenStinregn Ngatthuernailn Fga Nrmatinugral Farming Ensuring HEignhsu-Yriienlgd Hinigg hS-eYeiedlsding Seeds",Indeterminate,0.4293,Poshan Abhiyaan.,2019
"We will launWceh wthilel lNauatnicohn athl Me iNssaitoionn oanl MNaistsuioranl oFna rNmaitnugr atol F parromminogte t on aptruorme-oftreie nnadtluy,r ecl-imfriaetned-lrye, scilliimenatt, e-resilient, GUARANTEE FOR",Indeterminate,0.4079,Poshan Abhiyaan.,2019
"remuneratirveem augnreicrualttiuvree a fgorri cfuolotdu raen fdo rn ufotoridti oann ds encuutrreit Biohna sreatc.ure Bharat. We will encWouer awgilel efanrcmouerrasg teo fuasrem heirgsh t-oy iuesldei nhgig, hcl-iymiealtdein rge,s cilliiemnat taen rde sbiiloie-nfot ratnifide bdi ov-afroierttiifiese do fv saerieedtsie.s of seeds. KISAN SAMMAN Further IncFeunrttihveisri Inngc eCnrotipv iDsiivnegr Csrifiocpa Dtiiovnersification ExpandingE axcpcaensds itnog N aacnceos Usr teoa Nano Urea We have incWeen thivaivzee din ccreonpt idviivzeedrs cifirocpat dioivne wrsiitfihc aaptiporno wpriitaht ea ppprircoep sruiaptpe oprrti cset rsautpepgoyr. tB sutilrdaitnegg oyn. B tuhiilsd,i nwge on this, we We have stWaret ehda vues isntga nrtaendo u-usrinega ntoa neon-suurreea c toon etinnsuuerde scooinl tfeinrutielidty s oinil Ifnedritailnit fya irnm Inladniadns. fWarem wlailnl dfusr. tWhee rw ill further are commitatreed c toom fumritthteedr etoxp faunrtdh cerro epx dpiavnedrs cifirocpat dioivne trosi fimcaakteio ang troic multaukree a sgursictualitnuarbel es uasntda rineambulen aenradt irveem. unerative. expand acceexsps atnod a ancdc eenssc otuor aangde eandcooputrioang eo fa dNoapntoio Unr eoaf .N ano Urea. Ensuring Access to Robust Agri Infrastructure The dignity and empowerment of farmers is one of our top-most priorities. We have Krishi InfraKsrtirsuhci tInufrrea Mstirsusciotnure Mission empowered our Kisans through a variety of measures including soil health card,",Low Confidence: Highly Likely,0.5522,Poshan Abhiyaan.,2019
"We will launWceh wa iKllr liasuhni Icnhf raa Kstrrisuhcit Iunrfer aMsitsrsuioctnu froer M inistseigorna tfeodr ipnltaengnriantge dan pdla cnonoirndgi naantde dco iomrpdlienmateendt iamtipolne mofe ntation of micro-irrigation, crop insurance, seed supply, and direct financial assistance under PM agri-infrastargurci-tiunrfer apsrtorjueccttus rleik pe rsotjoercatgs eli kfaec siltiotireasg, eir rfaigcailtitioiens, ,g irrraidgiantgio ann, dg rsaodritningg a nudni stso,r ctoinldg sutnoitras,g ceo ld storage Kisan Samman Yojana. We have increased MSP multi-fold. We are committed to facilities, anfadc filoitoieds p, raoncde sfosiondg parmocoensgs iontgh aemrso. ng others. support our Kisan families and empower them to lead better lives. ExpandingE Ixrrpiagnatdiionng FIrarcigiliattieiosn Facilities We have creWaet ehda vae 2 c5r.5ea latekdh ah e2c5t.5a rlea kirhr ihgeacttioanre c airpriagcaittyio unn cdaepra tchitey PuMnd Kerri sthhie S PinMch Karii sYhoij aSninac. hFauir Ythojearn, wa. eF urther, we Making Agriculture Remunerative will launch wteicllh lanuonlocghy t-eecnhanbolelodg iyr-riegnaatbiolend in iritriiagtaitvieosn tion iitmiaptilveemse tnot i mcupttleinmge-nedt gceu ttteinchg-neodloggey t feocrh enffiolocgieyn fto r efficient water manwagaetmere mnta.nagement. StrengthenStinregn PgMth KeInSiAnNg PM KISAN Network oNf eGtrwaionr Skt oofr aGgrea iFna Sctiloitriaegse i nF aRcuilriatile Asr iena Rsural Areas We are provWidei nagre a pnrnouvaidl fiinnga anncniaul aals fisnisatnancicael aosfs ₹is6t,0an0c0e u onfd ₹e6r, 0P0M0 K uisnadne rS aPmM mKiasna nN Sidahmi Ymoajann Na.i dWhei Yaorjea na. We are",Moderate Confidence: Highly Likely,0.6359,Complete Irrigation Projects under Pradhan Mantri Krishi Sinchayi Yojana,2019
"committedc toom smusitttaeinde tdo fisnuastnaciinael sdu fipnpaonrct ifaol rs uopupr ofartr mfoerr os.ur farmers. We will devWeleo pw ail ls duebvsetlaonpt iaa ls sutbosrtaagnet icaal psatocirtayg ien cPaApCaSc iutyn dine rP tAhCeS wunodrledr's t lhaer gweostrl gdr'sa ilnar sgteosrta ggrea sinc hsetmorea gine scheme in the coopertahtiev eco soepcetorar.t Wivee sweicllt coorm. Wpele wmiell ncto mit pwleitmh ebnats iict fwaictihlit bieass ilcik fea gcirlaitdieinsg li,k seo grtriandgin, pgr, oscoerstsiningg, parnodc essing and StrengthenStinregn PgMth Feansianlg B PimMa F Yaosjaaln Baima Yojana packing. packing.",Low Confidence: Partial,0.5618,We will make enrollment of farmers under the Pradhan Mantri Fasal Bima Yojana voluntary,2019
"We will furtWhee rw sitllr feunrgtthheern s tthreen PgMth Feans tahl eB iPmMa FYaosjaanl Ba itmharo Yuogjahn ma othrero tuegchhn moloorgei ctaelc ihnnteorlovgeinctailo innst etrov entions to LaunchingL Karuisnhcih Sinagte Kllriitsehi Satellite ensure speeendsyu arned s pmeoerdey a acncdur matoer ea sascecsusrmateen ats, fsaesstsemr epnaty,o fuatsst earn pda qyuoiuctkse ra ngdri eqvuaicnkceer r gersioelvuatniocne. resolution.",Low Confidence: Highly Likely,0.5547,Harness our advanced satellite technology and expertise for development.,2014
"We will launWceh wanil li nladuignecnho auns i nBdhiagreanto Kursis Bhhi saaratet lKlitreis hfoi rs afatermllit-ere floart efadr amc-triveiltaietesd li kaec tcivroitpie fso lriekeca csrtoinpg f,o recasting, Increase inI nMcSrePase in MSP pesticide apppeslitciactidioen a, iprprilgicaattioionn, ,s iorrili ghaetaioltnh,, saonild h weaelatthh, earn fdo wreecaatshteinrg f,o armecoansgti nogth, aemrso. ng others. We have enWsuer headv uen epnrseuceredde nutnepdr einccerdeeanstee idn iMncSrPe afsoer min aMjoSrP c froorp sm, aajnodr wcreo pwsi,l la cnodn wtineu wei ltlo c oinnctrienausee t Mo SinPc rease MSP from time tforo tmim teim. e to time. 23",Low Confidence: Partial,0.5278,Re-orient pest management and control programmes,2014
We will develop Digital Public Infrastructure to remove information asymmetry in agriculture and,Low Confidence: Partial,0.5928,"Encouraging research and innovation in areas of relevance for the economy and society, particularly by promoting close and productive interaction between private and public institutions. Sectors such as agriculture (particularly soil, water management, human and animal nutrition and fisheries), water, health, education, industry, energy including renewable energy, communication and transportation would be accorded highest priority. Leveraging of technologies such as information technology, biotechnology and material sciences would be done with special importance.",2014
"We will support Annadatas to make Bharat Atmanirbhar in the production of pulses (like tur, urad, provide farmer-centric solutions and services. Expand the Network of Dairy Cooperatives masoor, moong and chana) and edible oil production (like mustard, soybean, til and groundnut).",Low Confidence: Highly Likely,0.5675,"Encourage the production of cereals, pulses and oils.",2014
"We will expand the network of dairy cooperatives in villages in the next five years with facilities of New Clusters for Vegetable Production and Storage fodder banks, milk testing laboratories, bulk milk coolers, and milk processing units. Easy Accessibility of Agricultural Inputs",Moderate Confidence: Partial,0.6635,We have given utmost importance to the dairy sector and have established Kamdhenu Aayog for the conservation of indigenous species of cows. We will establish a network of mobile veterinary dispensaries to provide doorstep service to farmers.,2019
"We will support Annadatas with requisite farming inputs to increase the production of nutritious Protecting Indigenous Breeds vegetables by establishing new clusters for the production of essentials like onion, tomato, potato etc. Doubling Custom Hiring Centres",Low Confidence: Partial,0.5738,"We will promote chemical-free organic farming in an additional lakh hectare of hilly, tribal and rainfed areas in the next years",2019
"We will also set up storage and logistics facilities at these clusters. We will make efforts to protect indigenous cattle breeds, and make efforts to increase their productivity",Moderate Confidence: Partial,0.6626,We have given utmost importance to the dairy sector and have established Kamdhenu Aayog for the conservation of indigenous species of cows. We will establish a network of mobile veterinary dispensaries to provide doorstep service to farmers.,2019
"We have already established 25,000 custom hiring centres. We will double the number of custom hiring and preserve their genetic diversity. Positioning Bharat as the Nutri-Hub of the World centres, focusing on making agricultural machinery and equipment at stable prices. Eliminating Major Veterinary Diseases Building on the success of the International Year of Millets, we will promote Shree Anna (millets) for food Upgrading Krishi Vigyan Kendra",Low Confidence: Highly Likely,0.5607,"Promote horticulture, floriculture, pisciculture, bee- keeping and poultry for generating jobs and income for rural India",2014
"security, nutrition and environmental sustainability and make Bharat a Global Millet Hub. We will eliminate FMD (Foot and Mouth Disease) and will also control brucellosis through a massive",Low Confidence: Partial,0.5347,"Make potable drinking water available to all thus reducing water-borne diseases, which will automatically translate into Diarrhoea-free India.",2014
We have upgraded KVKs to provide digital solutions to our farmers. We will further upgrade all Krishi vaccination campaign. Millet as Super Food Vigyan Kendra into a one-stop centre for skill development. Sahakar se Samriddhi We have ensured that Millet gets the global recognition and will now promote it as the global superfood. Expanding PM Kisan Samriddhi Kendras,Low Confidence: Partial,0.5243,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019
"We will also focus on expanding its cultivation among small farmers, promote research and international We will bring the National Cooperative Policy with a view to make the cooperative movement strong, marketing to underscore its health and sustainability advantages. We have established PM Kisan Samriddhi Kendras to provide all agricultural inputs and services as efficient, transparent, technically rich and vibrant at the grassroots level.",Moderate Confidence: Partial,0.6509,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019
one-stop shops to our farmers. We will further expand the network of PM Kisan Samriddhi Kendras. Strengthening Natural Farming Ensuring High-Yielding Seeds,Moderate Confidence: Partial,0.6189,We will expand the coverage of Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country,2019
"We will launch the National Mission on Natural Farming to promote nature-friendly, climate-resilient,",Moderate Confidence: Partial,0.6074,"Will adopt a 'National Land Use Policy', which will look at the scientific acquisition of non-cultivable land, and its development; Protect the interest of farmers and keep in mind the food production goals and economic goals of the country. Its implementation would be monitored by the National Land Use Authority, which will work with the State Land Use Authorities to regulate and facilitate land management.",2014
"remunerative agriculture for food and nutrition secure Bharat. We will encourage farmers to use high-yielding, climate resilient and bio-fortified varieties of seeds. Further Incentivising Crop Diversification Expanding access to Nano Urea",Low Confidence: Highly Likely,0.5607,"Promote horticulture, floriculture, pisciculture, bee- keeping and poultry for generating jobs and income for rural India",2014
"We have incentivized crop diversification with appropriate price support strategy. Building on this, we We have started using nano-urea to ensure continued soil fertility in Indian farmlands. We will further are committed to further expand crop diversification to make agriculture sustainable and remunerative. expand access to and encourage adoption of Nano Urea. Krishi Infrastructure Mission",Indeterminate,0.4977,"We will bring one crore hectares agricultural land under micro-irrigation, this would be supplemented with ‘fertigation’ to promote judicious use of fertilizers.",2019
"We will launch a Krishi Infrastructure Mission for integrated planning and coordinated implementation of agri-infrastructure projects like storage facilities, irrigation, grading and sorting units, cold storage facilities, and food processing among others. Expanding Irrigation Facilities We have created a 25.5 lakh hectare irrigation capacity under the PM Krishi Sinchai Yojana. Further, we will launch technology-enabled irrigation initiatives to implement cutting-edge technology for efficient water management. Strengthening PM KISAN Network of Grain Storage Facilities in Rural Areas We are providing annual financial assistance of ₹6,000 under PM Kisan Samman Nidhi Yojana. We are",Moderate Confidence: Highly Likely,0.6383,Complete Irrigation Projects under Pradhan Mantri Krishi Sinchayi Yojana,2019
committed to sustained financial support for our farmers. We will develop a substantial storage capacity in PACS under the world's largest grain storage scheme in,Moderate Confidence: Partial,0.6881,We will build an efficient storage and transport mechanism for agriculture produce,2019
"the cooperative sector. We will complement it with basic facilities like grading, sorting, processing and Strengthening PM Fasal Bima Yojana packing.",Low Confidence: Highly Likely,0.5707,We will also set up Centres of Excellence in various sectors in partnership with the Industry.,2014
"We will further strengthen the PM Fasal Bima Yojana through more technological interventions to Launching Krishi Satellite ensure speedy and more accurate assessment, faster payouts and quicker grievance resolution.",Moderate Confidence: Highly Likely,0.6382,Harness our advanced satellite technology and expertise for development.,2014
"We will launch an indigenous Bharat Krishi satellite for farm-related activities like crop forecasting, Increase in MSP pesticide application, irrigation, soil health, and weather forecasting, among others. We have ensured unprecedented increase in MSP for major crops, and we will continue to increase MSP from time to time. 24",Low Confidence: Highly Likely,0.5705,Harness our advanced satellite technology and expertise for development.,2014
We will develWope Dwigililt dael vPeulbolpic D Inigfirtaasl tPruubctliuc rIen ftroa sretrmuoctvuer ien ftoor rmematoiovne ainsfyomrmmaettiroyn i nas aygmrimcueltturyre in a angdr iculture and,Indeterminate,0.4434,Poshan Abhiyaan.,2019
"We will suppoWret Awnilnl asudpatpaosr tt oA mnnaakdea Btahsa rtaot m Aatmkea Bnhirabrhaatr A intm thaen iprbrohdaur cinti othne o pf rpoudlsuecsti (olink eo ft upru, luserasd (,l ike tur, urad, provide farmperro-vceidnet rfiacr smoelurt-icoennst rainc ds osleurtvioicness .and services. Expand the NExeptwanodrk t hoef DNaeitrwy oCroko opfe rDaatiirvye Csooperatives masoor, moomnga saonodr ,c mhaonoan)g a anndd e cdhibalnea o)i la pnrdo edduicbtlieo no i(l lpikreo dmuucsttioanrd (,l iskoey mbeuasnta, tridl ,a snody bgreoaunn, tdinl aunt)d. groundnut).",Indeterminate,0.4949,Launch the 'Pradhan Mantri Gram SinchayeeYojana' with a motto of 'harkhetkopaani'. We will launch multi-pronged 'water strategy' for reducing farmer's dependence on monsoon. Increase irrigated land by completing the long pending irrigation projects on priority.,2014
"We will expanWde t wheil ln eextpwaonrdk tohfe d naeirtyw coorokp oefr adtaiivreys c iono vpiellaragteisv eins tinh ev inllaegxet sfi ivne t yheea nrse xwti tfihv efa yceilaitrise sw oitfh facilities of New ClusterNs efowr CVleugsetetarsb lfeo Pr rVoedguecttaibolne aPnrdo dSutoctriaogne and Storage fodder banksf,o mddilke rt ebsatninksg, lmabilokr taetsotriinegs ,l babuolkr amtoilkri ecos,o bleurlsk, manildk mcoiolkl eprrso, caensds imngil ku npirtosc.essing units. Easy Accessibility of Agricultural Inputs",Indeterminate,0.4612,We will expand the Pradhan Mantri Shram Yogi Maandhan scheme,2019
"We will suppoWret Awnilnl asudpatpaosr tw Aitnhn raedqautiassit we fitahr mreiqnugi sinitpeu ftasr tmo iinngc rinepasuet st htoe ipnrcordeuasceti othne o pf rnoudturcittioiouns o f nutritious Protecting InPdroigteencotiunsg BInredeigdesnous Breeds vegetables bvye egsettaabblilsehsi nbgy nesetwa bclliusshtienrgs n feowr t chlue sptreords ufcotri othne o pf reosdsuecnttiioanls o lifk ees osneinotnia, tlso mlikaet oon, pioont,a ttoom eatcto. , potato etc. Doubling CusDtooumb lHinirgi nCgu sCteonmtr Hesiring Centres",Low Confidence: Partial,0.5212,"We will promote chemical-free organic farming in an additional lakh hectare of hilly, tribal and rainfed areas in the next years",2019
"We will also sWete uwpi lsl taolsroag see ta nudp lsotgoirsatgices afancdi lliotigeiss taict st hfaecsieli tcieluss atet rtsh.ese clusters. We will makeW eeff woritlls m toa kper oetffeocrtt isn dtoig pernootuesc tc aintdtlieg ebnreoeudss c, aatntdle mbraekeed esff, aonrdts m toa kinec erffeaosret st htoe iirn pcrreoadsuec ttihveitiyr productivity We have alreWadey h easvtea ballirsehaeddy 2 e5s,0ta0b0li schuestdo 2m5 ,h0i0ri0n gcu csetnotmre hs.i rWineg wceilnl dtroeusb. lWe et hwei lnl udmoubbeler othf ecu nsutmombe hri roifn gcu stom hiring and preservea tnhde pirr geesenrevteic t dhievierr gseitnye.tic diversity. Positioning BPhoasirtaiot naisn tgh Beh Nauratrti -aHsu tbh eo fN tuhteri W-Hourbld of the World centres, focucseinngtr oens ,m foackuinsign gag ornic multaukrinagl m agarcihciunleturyra al nmda ecqhuinipemrye anntd a et qsutaipbmlee pnrtic aets s.table prices. Eliminating MElaimjoirn Vateitnegr iMnaarjoyr D Viseetearsiensary Diseases Building on thBeu islduicncge sosn otfh teh seu Icncteesrsn oaft itohnea lI nYteearrn oaft iMonilalel tYse, awre o wf Milli lplerotsm, wotee wShillr peero Amnontae ( Smhilrleeets A) nfonra f(omoidll ets) for food Upgrading KUripsghri aVdiginyga nK rKisehnid Vraigyan Kendra",Indeterminate,0.3977,Work towards completing the development of ‘Panchteeh’ circuit,2019
"security, nutrsieticounr iatyn,d n euntrviitrioonnm aenndt eanl vsuirsotnamineanbtilaitl ys uasntda imnaabkieli tByh aanradt m a aGkleo bBahl aMrailtle at GHluobb.al Millet Hub. We will eliminWaete w FiMll eDl i(mFoinoatt aen FdM MDo (uFtoho tD aisneda sMeo) uatnhd Dwisilel aaslseo) aconndt wroilll barlsuoc eclolonstirso tlh brrouucgehll oas mis atshsriovueg h a massive We have upgWraed ehda vKeV uKpsg troa pdreodv KidVeK dsi gtoit aplr osovliudtei odnigsi ttaol osuorlu ftaiormnse tros. oWuer fwairllm fuerrsth. Were u wpgillr afudret haell rK uripsghri ade all Krishi vaccination cvaamccpianiagtnio. n campaign. Millet as SupMeirl lFeot oads Super Food Vigyan KendrVai ginytaon a K oenned-rsat ionpto c ean otnree -fsotro spk cilel ndtervee floopr mskeinll td.evelopment. Sahakar se SSaamharikdadrh sie Samriddhi We have ensuWree dh athvaet e Mnsilulerte dg etthsa tth Me igllelotb gael trse ctohgen giltoiobna la rnedc owginlli tnioown apnrdom woiltl en oitw a sp rtohme goltoeb iat la ssu tpheer fgoloobda. l superfood. Expanding PEMx pKaisnadnin Sga PmMri dKdishain K Seanmdrraidsdhi Kendras",Indeterminate,0.4234,"Modernize our Prison system with technology and infrastructure; to strengthen the security as well human rights and correctional dimensions. Work towards evolving common national standards and protocols. Train and technologically enable the police to track, pursue, as well as prevent Cyber Crime.",2014
"We will also fWoceu ws oilln a elsxop faoncduins go nit se xcpualtnivdaintigo nit sa mcuoltnigv astmioanl la fmaromnegr ssm, parlol mfaormtee rress, eparrocmh oatned r iensteearrncaht iaonnda li nternational We will bringW thee w Nilal tbiorinnagl tChoeo pNeartaiotnivael PCooolicpye rwaittihv ea Pvoieliwcy t wo imtha ak ev itehwe ctoo ompaekraet tivhee mcooovpeemraetnivt es tmroonvge,m ent strong, marketing tom uanrdkeertsincogr teo i tusn hdeearlstcho aren dit ss uhsetaalitnha abnildit ys uasdtvaainnatabgileitsy. advantages. We have estaWbelis hhaevde P eMst Kabislaisnh Seadm PrMid Kdihsai Kne Snadmrarsid tdoh pi Kroevniddrea asl lt aog prricouvlitduer aall li napgruitcsu latnudra sl einrvpiuctess aansd services as efficient, tranesffipcaireenntt, , ttreacnhsnpiacarellnyt r, itcehc ahnndic vailblyr arincth a atn tdh vei bgrraasnstr aoto tths ele gvreal.ssroots level. one-stop shoopnse t-os tooupr sfhaormpse tros. oWuer fwairllm fuerrsth. Were e wxpilal fnudr tthheer n eextpwaonrdk tohfe P nMe tKwisoarnk Soafm PrMid Kdihsai Kne Snadmrarsid.dhi Kendras. StrengtheniSntgr eNnagtuthraeln Finagrm Niantgural Farming Ensuring HigEhn-sYuierlidnign Hg iSgehe-Ydiselding Seeds",Indeterminate,0.4086,Poshan Abhiyaan.,2019
"We will launcWh eth we iNll alatuionncahl tMhies sNioanti oonna Nl aMtiusrsaiol nF aornm Ninagt utroa pl Froamrmoitneg n taot purreo-mfroiteen dnlayt, ucrliem-fartiee-nrdelsyi,l icelinmt,a te-resilient,",Indeterminate,0.4393,Poshan Abhiyaan.,2019
"remunerativere amgruincuelrtautrieve f oarg froicoudlt aunred fnourt froitoiodn a snedc nuuret rBithioanra ste.cure Bharat. We will encouWraeg we iflla ernmceorusr atog eu sfaer hmigehr-sy tioe ludsineg h, icglihm-yaiteeld riensgil,i eclnimt aanted rbeisoi-lifeonrtt iafinedd bviaor-ifeotrietsifi oefd s veaerdiest.ies of seeds. Further InceFnutrivthiseinr gIn Ccreonpt iDviivseinrgsi Cfircoapt iDoniversification Expanding aEcxcepsasn tdoin Nga ancoc eUsrse ato Nano Urea We have inceWnteiv hizaevde cinrocepn dtiivveizresdifi ccraotpio dni vweirtshifi acpaptrioonp rwiaitteh parpicpero spurpiaptoer tp rsitcrea tseugpyp. oBrut isldtirnagt eogny t. hBiusi,l dwien g on this, we We have starWteed h uasvine gs tnaarnteod-u urseian gto n eannsou-ruer ecao ntoti neunesudr seo cilo fnetritniluiteyd i nso Inil dfeiarnt ifliatyrm inla Innddisa. nW fea rwmillla fnudrsth. Were will further are committeadre t oc ofmurmthitetre edx tpoa fnudr tchroepr edxivpearnsdifi ccraotpio dni vteor msifiakceat aiognri ctuol mtuareke s uasgtraiciunlatbulree a snuds traeimnaubnleer aantidv ere. munerative. expand accesesx tpoa nadn da cecnecsosu troa gaen da deonpctoiuorna ogfe Naadnoop tUiorena o. f Nano Urea. Krishi InfrasKtrruischtiu Irnef rMaisstsriuocnture Mission",Low Confidence: Highly Likely,0.5289,Poshan Abhiyaan.,2019
"We will launcWh ea wKriilsl hlaiu Innfcrha sat Kruricsthui rIen fMraissstirounc tfuorre in Mteisgsriaotne fdo pr lianntenginrga taendd p cloanorndininga atnedd icmooprledmineantetdat iimonp loefm entation of agri-infrastruacgtrui-rien fprraosjtercutcst luikree sptroorjeacgtes f laikceil isttieosr,a igrrei gfaatciiolitni,e gsr, airdriingga taionnd, sgorratdiningg u annitds s, ocortldin sgt uornaitgse, cold storage facilities, andf afociolidti epsro, acnesds finogo da mprooncge sostinhger asm. ong others. Expanding IrErxigpaatniodnin Fga Icrirliigtiaetsion Facilities We have creaWteed h aa v2e5 .c5r leaakthe dh eac 2ta5r.5e liarkrihg ahteioctna craep irarcigitayt uionnd cear ptahcei tPyM u nKdriesrh ti hSein PchMa Ki Yroisjhain Sai.n Fcuhratih Yeorj,a wnea . Further, we will launch tewchilnl loaluongcyh-e tneacbhlneodl oirgryig-aetniaobnl eindit iirartigivaetsio tno iinmitpialetmiveesn tto c uimttpinlegm-eedngte c tuetcthinngo-leodggye f oter cehffinoclioengyt for efficient water managweamteenr tm. anagement. StrengtheniSntgr ePnMg KthISeAnNing PM KISAN Network of GNreatiwn oSrtko roafg Ger Faainc iSlittoiersa gine RFuacrailli tAierse ains Rural Areas We are providWineg a aren npuroavl fiidninagn cainanl ausasl ifistnaanncceia ol fa ₹ss6i,s0t0a0n cuen odfe r₹ 6P,M00 K0is uannd Searm PmM aKnis Naind Shai Ymomjaanna .N Wideh ai rYeo jana. We are",Indeterminate,0.4757,"To enable the farmer to store the agri-produce near his village and sell at a remunerative price at an appropriate time, we will roll out a new “Village Storage Scheme” of agri-produce. We will provide farmers with loans at cheaper rates on the basis of storage receipt of the agri-produce",2019
"committed toc osmusmtaititneedd tfion saunsctiaailn seudp pfionratn fcoiar lo suurp fpaorrmt eforsr. our farmers. We will develWope aw silul bdsetvaenlotipa la s stuobrasgtaen ctaiapla sctitoyr aing eP AcaCpSa ucnitdye irn t PhAeC wS ournldd'es rl atrhgee wsto grrlda'isn lsatrogreasgte g srachine smtoer iang e scheme in the cooperattivhee sceocotpoerr. aWteiv we silel ccotomr.p Wleem wenillt c iot mwpitlhe mbaesnict ifta wciliitthie bsa liskiec fgarcaidlitiniegs, sliokert ginrgad, pinrgoc, seosrstiningg a, npdro cessing and StrengtheniSntgr ePnMg Fthaesanli nBgim PaM Y Foajasanla Bima Yojana packing. packing.",Low Confidence: Highly Likely,0.57,"Creation of 10,000 Farmer Producer Organizations",2019
"We will furthWere s wtrielln fgutrhtheenr t shter ePnMg tFhaesna lt Bhiem PaM Y oFjaasnaal Bthimroau Ygohj amnoar teh treocuhgnho mlogoircea tl eincthenrovleongticioanl sin ttoe rventions to Launching KLriasuhni cShaitnegll iKtreishi Satellite ensure speedeyn saunrde m spoeree dayc caunrda tme oarses eascscmureantet, afsassetessr mpaeynotu, ftass atnedr pqauyicokuetrs g arniedv qauniccek erer sgorliuetviaonnc.e resolution.",Low Confidence: Highly Likely,0.5602,Harness our advanced satellite technology and expertise for development.,2014
"We will launcWh ea nw iinlld laiguenncohu asn B ihnadriagte nKoriussh iB shaatrealltit Ker fisohr if saartmel-lriteela ftoerd f aarcmtiv-irteielast elikde a ccrtoivpi tfioerse lcikaes tcirnogp, forecasting, Increase in MInScPrease in MSP pesticide apppliecsattiicoidne, i rarpigpalitciaotnio, sno, iilr hriegaalttiho,n a, nsodi lw heeaatlhthe,r a fnodre wcaesattihnegr, afomreocnags otitnhge,r asm. ong others. We have ensuWree dh auvnep reencseudreendt uendp inreccreeadseen tine dM iSnPcr feoars me ianjo Mr ScPro fposr, manadjo wr ecr wopilsl c, aonndti nwuee w toil li ncocrnetainsuee M tSoP in crease MSP from time tof triomme .time to time.",Indeterminate,0.4698,Re-orient pest management and control programmes,2014
25 25,Indeterminate,0.2946,people-centric,2014
We will booWste s weailwl beoeods tc usletaivwaetieodn cuunltdievra ttihoen Purnaddehra tnh Me aPnratrdih Maant Msyaan Straim Mpaatdsyaa Y Soajamnpa atdoa in Ycorjeaansae t ion cinocmreea se income of fishermeonf. fishermen. Pearl FarmPinegarl Farming,Low Confidence: Partial,0.5946,"We will facilitate farming of sea-weed, pearl as well as ornamental fish to ensure a better return to the fishermen",2019
